CEO,Gender,Company,Ticker,Industry,Founder,Years.as.company.CEO,Years.with.company,Age,Total.2008.compensation,2008.Salary,2008.Bonus,2008.Other,2008.Stock.gains,5-year.compensation.total,Shares.owned.($.millions),6-year.average.compensation,6-year.annual.total.return,6-year.return.relative.to.industry,6-year.return.relative.to.market,Performance.vs.pay.rank,Total.return.during.tenure,Relative.to.market
Lawrence J Ellison,M,Oracle,ORCL,Software & Services,Yes,32,32,64,556.98,1,10.78,1.45,543.75,944.45,21987.4,164.26,9%,101,107,103,27%,118
Ray R Irani,M,Occidental Petroleum,OXY,Oil & Gas Operations,No,18,26,74,222.64,1.3,3.63,33.32,184.39,743.55,394.3,128.82,28%,106,125,106,14%,106
John B Hess,M,Hess,HES,Oil & Gas Operations,No,14,32,55,154.58,1.5,3.5,36.66,112.92,234.83,2016.8,39.68,27%,106,125,115,10%,104
Michael D Watford,M,Ultra Petroleum,UPL,Oil & Gas Operations,No,10,10,55,116.93,0.6,1.75,1.1,113.48,174.17,104.1,29.47,45%,120,142,28,48%,153
Mark G Papa,M,EOG Resources,EOG,Oil & Gas Operations,No,11,28,62,90.47,0.94,1,18.86,69.67,170.69,51.7,28.92,23%,102,120,92,23%,123
William R Berkley,M,WR Berkley,WRB,Insurance,Yes,42,42,63,87.48,1,8.5,5.42,72.56,178.29,627.4,30.79,13%,118,111,67,14%,104
Matthew K Rose,M,Burlington Santa Fe,BNI,Transportation,No,8,16,50,68.62,1.18,1.68,20.7,45.06,140.73,39.8,23.68,19%,114,117,40,13%,117
Paul J Evanson,M,Allegheny Energy,AYE,Utilities,No,6,17,67,67.26,1.12,1.23,22.28,42.63,143.54,33.1,NA,NA,NA,NA,NA,18%,119
Hugh Grant,M,Monsanto,MON,Chemicals,No,6,28,51,64.6,1.29,3.33,9.32,50.67,135.3,28,NA,NA,NA,NA,NA,44%,144
Robert W Lane,M,Deere & Co,DE,Capital Goods,No,9,27,59,61.3,1.44,3.59,15.24,41.04,142.4,11.8,24.13,13%,100,111,109,9%,113
Keith A Hutton,M,XTO Energy,XTO,Oil & Gas Operations,No,0.5,22,50,54.78,0.94,5.25,2.67,45.92,NA,96.4,NA,NA,NA,NA,NA,NA,NA
Mark V Hurd,M,Hewlett-Packard,HPQ,Technology Hardware & Equipment,No,4,4,52,51.93,1.45,8.93,31.47,10.08,114.4,17.9,NA,NA,NA,NA,NA,13%,119
John H Hammergren,M,McKesson,MCK,Drugs & Biotechnology,No,10,13,50,51.29,1.47,3.86,20.91,25.04,137.78,9.4,24.31,7%,102,105,124,2%,105
Bradbury H Anderson,M,Best Buy,BBY,Retailing,No,7,36,59,49.26,1.17,1.99,0.02,46.08,80.63,92.9,13.96,14%,106,112,68,9%,109
David J O'Reilly,M,Chevron,CVX,Oil & Gas Operations,No,9,41,62,47.56,1.65,3.22,21.62,21.06,121.62,15.8,21.68,17%,98,115,119,8%,113
Frederick W Smith,M,FedEx,FDX,Transportation,Yes,38,38,64,44.49,1.43,0,3.54,39.52,131.1,1001.9,22.4,-1%,95,97,165,13%,102
Robert J Stevens,M,Lockheed Martin,LMT,Aerospace & Defense,No,5,9,57,42.68,1.77,4.25,12.33,24.33,101.39,26.3,NA,NA,NA,NA,NA,9%,111
Ronald E Hermance Jr,M,Hudson City Bancorp,HCBK,Banking,No,7,21,61,42.27,1.39,2.3,1.03,37.55,65.89,42.8,11.78,15%,122,113,13,19%,122
Brian L Roberts,M,Comcast,CMCSA,Media,No,6,19,49,39.26,2.77,8.28,6.12,22.1,159.7,283.5,28.99,-4%,105,94,137,-2%,96
John W Rowe,M,Exelon,EXC,Utilities,No,9,11,63,39.22,1.47,1.84,8.7,27.21,155.13,20.9,26.56,15%,106,113,83,9%,113
Richard C Adkerson,M,Freeport Copper,FCX,Materials,No,5,20,62,38.66,2.08,0,18.8,17.79,142.85,58.6,NA,NA,NA,NA,NA,4%,106
Ronald A Williams,M,Aetna,AET,Health Care Equipment & Services,No,3,8,60,38.12,1.1,1.9,2.29,32.83,77.86,28,NA,NA,NA,NA,NA,-19%,89
Chase Carey,M,DirecTV Group,DTV,Media,No,5,5,55,36.86,2.21,4.2,30.44,0,54.36,15.3,NA,NA,NA,NA,NA,8%,110
Thomas M Ryan,M,CVS Caremark,CVS,Retailing,No,11,34,56,36.72,1.4,2.35,7.34,25.62,119.14,84.7,21.28,17%,110,115,72,5%,106
Aubrey K McClendon,M,Chesapeake Energy,CHK,Oil & Gas Operations,Yes,20,20,48,36.01,0.98,1.83,16.35,16.85,189.67,45.4,32.25,19%,99,117,126,19%,112
J Wayne Leonard,M,Entergy,ETR,Utilities,No,10,11,58,35.14,1.27,2.17,12.86,18.83,72.85,15.4,13.5,9%,101,107,91,11%,113
James W Stewart Jr,M,BJ Services,BJS,Oil & Gas Operations,No,23,23,64,34.59,1.14,0.58,2.14,30.73,63.87,20.3,11.3,-6%,78,92,173,8%,101
Leslie Moonves,M,CBS,CBS,Media,No,4,24,60,33.65,5.32,18.5,4.86,4.97,97.08,5.5,NA,NA,NA,NA,NA,-28%,75
Stephen R Wilson,M,CF Industries Holdings,CF,Chemicals,No,6,18,60,33.07,0.9,1.8,0.11,30.26,41.74,8.7,NA,NA,NA,NA,NA,51%,163
John C Martin,M,Gilead Sciences,GILD,Drugs & Biotechnology,No,13,19,57,33.05,1.15,1.65,1.77,28.48,139.09,75.1,25.08,29%,123,127,26,28%,123
Daniel J Starks,M,St Jude Medical,STJ,Health Care Equipment & Services,No,5,25,55,32.24,0.99,1.37,0.07,29.82,70.94,218.4,NA,NA,NA,NA,NA,-1%,101
Harold M Korell,M,Southwestern Energy,SWN,Oil & Gas Operations,No,10,12,64,31.63,0.68,0.45,4.91,25.59,70.24,74.1,NA,NA,NA,NA,NA,41%,143
Samuel J Palmisano,M,IBM,IBM,Software & Services,No,7,36,57,30.33,1.8,5.5,8.06,14.97,107.97,77.4,19.41,6%,97,104,149,1%,102
Steven Roth,M,Vornado Realty,VNO,Diversified Financials,No,20,20,67,30.05,1,0,2.27,26.77,135.68,355,22.98,7%,109,105,82,14%,106
Marc Holliday,M,SL Green,SLG,Diversified Financials,No,5,11,42,30,0.6,7.5,13.91,7.99,78.76,5.8,NA,NA,NA,NA,NA,-16%,85
Craig L Martin,M,Jacobs Engineering,JEC,Construction,No,3,15,58,29.77,1.08,1.3,0.01,27.37,37.87,13.2,NA,NA,NA,NA,NA,0%,112
Ralph Lauren,M,Polo Ralph Lauren,RL,Household & Personal Products,Yes,41,41,69,29.75,1,12,0.45,16.3,105.64,2109.1,18.77,14%,109,112,90,4%,102
Lewis B Campbell,M,Textron,TXT,Conglomerates,No,11,17,62,28.98,1.1,0.62,11.14,16.12,118.42,4.1,21.13,1%,96,99,170,-6%,94
Robert W Selander,M,MasterCard,MA,Diversified Financials,No,12,15,57,28.96,0.98,2.29,5.41,20.28,97.45,8.6,NA,NA,NA,NA,NA,58%,178
James J Murren,M,MGM Mirage,MGM,"Hotels, Restaurants & Leisure",No,0.5,11,47,28.84,1.5,4.74,0.35,22.25,NA,1.3,NA,NA,NA,NA,NA,NA,NA
Miles D White,M,Abbott Laboratories,ABT,Drugs & Biotechnology,No,10,24,54,27.13,1.8,4.2,7.14,14,99.43,55.7,17.27,5%,100,103,131,1%,103
K Rupert Murdoch,M,News Corp,NWS.A,Media,No,30,56,78,26.94,8.1,17.5,1.34,0,117.96,2553.8,21.69,-5%,104,93,133,1%,95
Mark Donegan,M,Precision Castparts,PCP,Aerospace & Defense,No,7,24,51,26.76,1.18,1.83,0.05,23.7,68.41,14.3,11.71,31%,123,129,9,26%,125
Ivan G Seidenberg,M,Verizon Communications,VZ,Telecommunications Services,No,14,43,62,26.24,2.1,3.74,20.4,0,82.14,60.3,16.09,5%,96,103,161,6%,100
Lloyd C Blankfein,M,Goldman Sachs Group,GS,Diversified Financials,No,3,28,54,25.84,0.6,0,25.24,0,136.61,273,NA,NA,NA,NA,NA,-6%,105
Gregg L Engles,M,Dean Foods,DF,Food Drink & Tobacco,No,21,21,51,25.51,1.3,2.35,1.63,20.23,116.38,62.7,21.32,3%,97,101,130,15%,111
Robert E Beauchamp,M,BMC Software,BMC,Software & Services,No,8,21,49,25.33,0.95,2.23,2.12,20.03,44.01,29.7,7.69,14%,105,112,66,5%,108
Daniel A DeMatteo,M,Game Stop,GME,Retailing,No,1,13,61,25.21,0.8,1.76,1.14,21.51,NA,11.5,NA,NA,NA,NA,NA,-39%,109
James C Mullen,M,Biogen Idec,BIIB,Drugs & Biotechnology,No,5,20,50,24.77,1.19,2.4,3.38,17.81,61.84,11.8,NA,NA,NA,NA,NA,6%,108
Edward J Ludwig,M,"Becton, Dickinson",BDX,Health Care Equipment & Services,No,9,30,57,24.29,1.06,1.53,3.66,18.04,72.63,16.3,12.59,14%,107,112,49,11%,116
Kent J Thiry,M,DaVita,DVA,Health Care Equipment & Services,No,10,10,53,24.24,0.94,2.1,1.91,19.29,124.79,7.7,22.04,22%,115,120,32,26%,129
Timothy M Ring,M,CR Bard,BCR,Health Care Equipment & Services,No,6,17,51,23.75,0.99,1.38,3.73,17.65,53.1,16.9,NA,NA,NA,NA,NA,16%,116
Ronald L Havner Jr,M,Public Storage,PSA,Diversified Financials,No,7,23,51,23.22,0.95,16,0.01,6.26,37.4,2.3,6.37,16%,118,114,7,16%,115
William H Swanson,M,Raytheon,RTN,Aerospace & Defense,No,6,37,60,23.18,1.23,3.05,11.27,7.63,51.78,30.3,NA,NA,NA,NA,NA,6%,107
Laurence D Fink,M,BlackRock,BLK,Diversified Financials,No,21,21,56,23.11,0.5,16.15,6.46,0,84.03,199.7,15.43,22%,124,120,14,28%,131
Murry S Gerber,M,EQT,EQT,Utilities,No,11,11,56,22.95,0.65,2.8,19.5,0,122.47,34.6,20.99,13%,104,111,75,18%,118
Lewis M Kling,M,Flowserve,FLS,Capital Goods,No,4,5,64,22.31,1.04,2.48,12.2,6.58,39.02,5.4,NA,NA,NA,NA,NA,19%,129
Robert A Iger,M,Walt Disney,DIS,Media,No,4,35,58,21.34,2,13.95,5.4,0,84.6,11.8,NA,NA,NA,NA,NA,-3%,104
Jerald G Fishman,M,Analog Devices,ADI,Semiconductors,No,13,38,63,20.96,0.93,1.81,3.72,14.5,72.11,8.7,14.52,-3%,107,95,89,6%,103
Michael J Ward,M,CSX,CSX,Transportation,No,6,32,58,20.73,1.06,2.03,6.56,11.08,87.54,8.3,14.73,14%,109,112,53,14%,112
David J Lesar,M,Halliburton,HAL,Oil & Gas Operations,No,9,16,56,19.95,1.3,3.12,12.74,2.79,117.26,20.3,20.31,10%,91,108,175,-3%,100
Louis C Camilleri,M,Philip Morris Intl,PM,Food Drink & Tobacco,No,1,31,54,19.91,1.57,9.45,3.6,5.3,NA,57.4,NA,NA,NA,NA,NA,-22%,114
David M Cote,M,Honeywell,HON,Conglomerates,No,7,7,56,19.75,1.83,3.5,14.42,0,70.9,12.9,13.02,8%,103,106,112,1%,102
Richard D Fairbank,M,Capital One Financial,COF,Diversified Financials,No,15,21,58,19.31,0,0,0.07,19.24,398.76,38.3,66.48,-9%,93,90,174,9%,103
Ronald L Sargent,M,Staples,SPLS,Retailing,No,7,20,53,19.15,1.11,0.62,4.25,13.18,82.8,37,14.13,10%,103,108,92,9%,110
Stephen F Angel,M,Praxair,PX,Chemicals,No,2,8,54,18.99,1.03,2.5,0.09,15.37,25.64,9.8,NA,NA,NA,NA,NA,9%,132
Alan L Boeckmann,M,Fluor,FLR,Construction,No,7,35,60,18.9,1.23,3.07,11.69,2.91,72.39,16.8,12.68,16%,109,114,38,16%,117
G Steven Farris,M,Apache,APA,Oil & Gas Operations,No,7,21,61,18.69,1.49,0.5,12.47,4.22,57.18,61,9.91,16%,96,114,100,16%,117
Bruce A Smith,M,Tesoro,TSO,Oil & Gas Operations,No,14,16,66,18.59,1.3,0,11.21,6.08,86.23,17.7,15.1,28%,106,126,88,10%,105
J Willard Marriott Jr,M,Marriott International,MAR,"Hotels, Restaurants & Leisure",No,36,53,77,18.53,1.25,0.9,3.62,12.75,134.52,815.3,22.81,3%,97,102,154,8%,102
Christopher M Connor,M,Sherwin-Williams,SHW,Retailing,No,10,26,53,18.13,1.21,0,5.26,11.65,6056,25.4,10.64,15%,107,113,47,13%,116
Anthony J Alexander,M,FirstEnergy,FE,Utilities,No,5,37,57,18.03,1.33,2.31,7.06,7.33,48.15,10.6,NA,NA,NA,NA,NA,5%,108
Donald M James,M,Vulcan Materials,VMC,Construction,No,12,17,60,18,1.24,0,6.42,10.34,68.49,13.4,11.75,10%,103,108,96,9%,106
Steve Sanghi,M,Microchip Technology,MCHP,Semiconductors,No,16,19,53,17.83,0.53,0.76,0,16.54,73.54,100,15.39,6%,118,104,39,16%,110
Paul E Jacobs,M,Qualcomm,QCOM,Technology Hardware & Equipment,No,4,19,67,17.78,1.11,2.91,0.52,13.24,81.25,67.1,NA,NA,NA,NA,NA,7%,114
William C Weldon,M,Johnson & Johnson,JNJ,Drugs & Biotechnology,No,7,38,60,17.55,1.79,3.7,9.2,2.86,60.08,21.9,11.12,0%,96,99,152,0%,100
George Paz,M,Express Scripts,ESRX,Health Care Equipment & Services,No,4,11,54,16.79,0.94,2.45,1.62,11.78,43.64,11.6,NA,NA,NA,NA,NA,23%,130
Thomas F Farrell II,M,Dominion Resources,D,Utilities,No,3,14,54,16.68,1.19,6.74,4.17,4.59,38.98,21.2,NA,NA,NA,NA,NA,-3%,105
Ronald D Sugar,M,Northrop Grumman,NOC,Aerospace & Defense,No,6,9,60,16.6,1.51,3.09,11.99,0,47.79,15.8,NA,NA,NA,NA,NA,2%,100
James D Taiclet Jr,M,American Tower,AMT,Telecommunications Services,No,6,8,48,16.41,0.88,1.09,0.03,14.43,34.86,0.7,NA,NA,NA,NA,NA,24%,125
Hans Helmerich,M,Helmerich & Payne,HP,Oil & Gas Operations,No,20,20,50,16.01,0.6,1.11,0.12,14.18,33.96,18.7,5.75,16%,96,114,126,12%,103
Alexander M Cutler,M,Eaton,ETN,Capital Goods,No,9,34,57,15.99,1.13,0.32,5.5,9.04,81.51,29.4,14.79,5%,94,104,132,6%,111
Kenneth I Chenault,M,American Express,AXP,Diversified Financials,No,8,28,57,15.89,1.25,0,9.5,5.14,98.28,19.3,18.52,-6%,95,92,171,-9%,93
John D Finnegan,M,Chubb,CB,Insurance,No,6,6,60,15.68,1.28,3.36,11.05,0,85.67,30.9,15.23,13%,118,111,44,8%,108
Steven W Alesio,M,Dun & Bradstreet,DNB,Business Services & Supplies,No,4,8,54,15.5,0.98,1.09,2.55,10.88,37.47,11.3,NA,NA,NA,NA,NA,8%,114
David M Zaslav,M,Discovery Communications,DISCA,Media,No,2,2,49,15.48,2,3.5,0.3,9.68,NA,0,NA,NA,NA,NA,NA,0%,121
W James McNerney Jr,M,Boeing,BA,Aerospace & Defense,No,4,4,59,15.41,1.92,1.48,12.02,0,48.09,15.1,NA,NA,NA,NA,NA,-10%,95
Martin L Orlowski,M,Lorillard,LO,Food Drink & Tobacco,No,10,10,67,15,2.2,11.7,0.76,0.34,NA,2.1,NA,NA,NA,NA,NA,17%,119
Christopher J Kearney,M,SPX,SPX,Conglomerates,No,4,12,53,14.15,1.05,2.73,10.37,0,37.88,21.6,NA,NA,NA,NA,NA,8%,114
Walter C Rakowich,M,ProLogis,PLD,Diversified Financials,No,0.5,15,51,14.1,0.63,0.42,3.3,9.75,NA,2.6,NA,NA,NA,NA,NA,NA,NA
Timothy P Smucker,M,JM Smucker,SJM,Food Drink & Tobacco,No,8,22,64,14.05,0.73,0.89,3.75,8.67,26.1,63.1,4.59,5%,99,103,77,8%,112
Lewis Hay III,M,FPL Group,FPL,Utilities,No,8,10,53,13.94,1.26,2.4,10.28,0,58.54,24.2,10.42,14%,105,112,56,11%,114
Peter J Rose,M,Expeditors Intl,EXPD,Transportation,No,21,28,66,13.74,0.11,5.82,0,7.81,45.67,38.9,8.11,11%,106,109,51,22%,113
David N Farr,M,Emerson Electric,EMR,Conglomerates,No,9,28,54,13.67,1.2,3,9.04,0.43,49.6,32.8,8.63,8%,103,106,94,2%,106
Robert A Eckert,M,Mattel,MAT,Household & Personal Products,No,9,9,54,13.2,1.25,0,1.72,10.23,31.68,0.4,7.42,-5%,91,93,138,3%,107
Nicholas D Chabraja,M,General Dynamics,GD,Aerospace & Defense,No,12,16,66,13.17,1.38,4.5,7.29,0,144.77,80.6,25.67,11%,104,109,110,9%,107
John V Faraci,M,International Paper,IP,Materials,No,6,35,59,13.03,1.26,1.58,10.2,0,42.43,10.3,NA,NA,NA,NA,NA,-23%,78
John D Wren,M,Omnicom Group,OMC,Media,No,12,25,56,12.98,1,1.75,0.2,10.03,90.76,26.9,15.73,1%,110,99,69,8%,105
Steven R Loranger,M,ITT,ITT,Conglomerates,No,5,5,57,12.88,1.12,2.53,9.23,0,40.11,12.4,NA,NA,NA,NA,NA,0%,104
William P Sullivan,M,Agilent Technologies,A,Technology Hardware & Equipment,No,4,33,60,12.87,0.99,1.31,8.85,1.73,35.19,3.9,NA,NA,NA,NA,NA,-7%,98
Jay S Fishman,M,Travelers Cos,TRV,Insurance,No,5,8,56,12.85,1,5,6.85,0,39.82,12.4,NA,NA,NA,NA,NA,3%,107
Theodore M Solso,M,Cummins,CMI,Capital Goods,No,9,38,62,12.61,1.21,1.06,10.33,0,57.15,20.4,10.32,32%,117,129,15,12%,117
Joel F Gemunder,M,Omnicare,OCR,Health Care Equipment & Services,No,28,28,69,12.55,1.67,0,10.88,0,67.01,50.7,12.14,0%,94,98,159,8%,98
Kenneth D Lewis,M,Bank of America,BAC,Banking,No,8,40,62,12.52,1.5,0,11.02,0,147.5,32.2,29.67,-16%,90,83,179,-8%,94
John F Coyne,M,Western Digital,WDC,Technology Hardware & Equipment,No,2,26,59,12.52,0.8,2.14,9.5,0.08,20.73,3.2,NA,NA,NA,NA,NA,3%,125
James A Skinner,M,McDonald's,MCD,"Hotels, Restaurants & Leisure",No,4,38,64,12.32,1.26,3.06,2.92,5.08,35.86,15.9,NA,NA,NA,NA,NA,19%,125
Howard L Lance,M,Harris,HRS,Technology Hardware & Equipment,No,6,6,53,12.25,0.97,1.42,3.35,6.5,46.37,8.1,NA,NA,NA,NA,NA,13%,110
Philippe P Dauman,M,Viacom,VIA.B,Media,No,3,3,55,12.11,2,7,3.11,0,NA,5.6,NA,NA,NA,NA,NA,-21%,90
Michael A Farrell,M,Annaly Capital Management,NLY,Diversified Financials,Yes,12,12,57,12.05,2.43,9.62,0,0,31.6,29.4,5.82,5%,107,103,42,12%,112
Jeffrey L Bewkes,M,Time Warner,TWX,Media,No,1,23,56,11.94,1.75,7.6,2.59,0,NA,5.9,NA,NA,NA,NA,NA,-30%,102
Andrea Jung,F,Avon Products,AVP,Household & Personal Products,No,10,15,50,11.76,1.38,1.69,6.39,2.31,44.08,7.1,9.13,-2%,94,96,128,5%,108
John P Surma,M,US Steel,X,Materials,No,5,12,54,11.74,1.22,3.25,3.99,3.28,50.17,5.6,NA,NA,NA,NA,NA,-7%,96
Jeffrey R Immelt,M,General Electric,GE,Conglomerates,No,8,27,53,11.55,3.3,0,7.65,0.6,70.93,36.5,14.38,-11%,85,88,178,-12%,88
Gregory H Boyce,M,Peabody Energy,BTU,Materials,No,3,6,54,11.55,1.05,2.07,0.93,7.49,50.48,3.8,NA,NA,NA,NA,NA,-8%,100
Jeffrey Noddle,M,Supervalu,SVU,Food Markets,No,8,33,63,11.49,1.13,1.3,4.79,4.26,34.22,8.2,5.87,1%,98,99,118,0%,102
David M Wood,M,Murphy Oil,MUR,Oil & Gas Operations,No,0.5,15,51,11.44,0.67,0.63,0.05,10.09,NA,0.6,NA,NA,NA,NA,NA,NA,NA
David C Novak,M,Yum Brands,YUM,"Hotels, Restaurants & Leisure",No,9,23,56,11.43,1.39,4.06,5.98,0,157.17,38,27.67,18%,111,116,50,14%,118
