CEO,Gender,Company,Ticker,Industry,Founder,Years.as.company.CEO,Years.with.company,Age,Total.2008.compensation,2008.Salary,2008.Bonus,2008.Other,2008.Stock.gains,5-year.compensation.total,Shares.owned.($.millions),6-year.average.compensation,6-year.annual.total.return,6-year.return.relative.to.industry,6-year.return.relative.to.market,Performance.vs.pay.rank,Total.return.during.tenure,Relative.to.market
Lew Frankfort,M,Coach,COH,Household & Personal Products,No,14,30,63,11.3,1.16,1.61,4.58,3.96,219.86,60.7,44.27,12%,107,110,60,26%,132
Douglas R Conant,M,Campbell Soup,CPB,Food Drink & Tobacco,No,8,8,57,11.29,1.18,1.87,3.16,5.09,30.37,9.6,5.53,6%,100,104,105,0%,102
Fred Hassan,M,Schering-Plough,SGP,Drugs & Biotechnology,No,6,6,63,11.14,1.67,4.03,5.44,0,47.36,21.8,NA,NA,NA,NA,NA,6%,105
Michael Balmuth,M,Ross Stores,ROST,Retailing,No,13,20,58,11.09,1.03,1.72,4.81,3.53,55.9,9.5,10.85,15%,1,113,48,19%,114
James L Dolan,M,Cablevision Systems,CVC,Media,No,14,22,54,11.07,1.8,4.43,4.84,0,79,16.4,13.98,5%,115,103,69,5%,100
William R Johnson,M,HJ Heinz,HNZ,Food Drink & Tobacco,No,11,27,60,11.05,1.14,4.7,5.21,0,40.79,20.4,7.29,6%,99,104,125,0%,100
Michael T Fries,M,Liberty Global,LBTYA,Media,No,4,11,46,11.03,0.92,1.6,1.86,6.65,22.09,4.1,NA,NA,NA,NA,NA,-7%,99
James W Owens,M,Caterpillar,CAT,Capital Goods,No,5,37,63,10.99,1.51,2.24,2.72,4.51,36.88,10.4,NA,NA,NA,NA,NA,-1%,101
Chad C Deaton,M,Baker Hughes,BHI,Oil & Gas Operations,No,5,5,56,10.99,1.16,1.3,8.53,0,25.93,8.1,NA,NA,NA,NA,NA,-6%,96
Stephen A Roell,M,Johnson Controls,JCI,Consumer Durables,No,2,27,59,10.9,1.33,0,9.58,0,NA,9.4,NA,NA,NA,NA,NA,-42%,82
C Robert Henrikson,M,MetLife,MET,Insurance,No,3,37,61,10.71,1,3.25,4.1,2.36,31.22,1.5,NA,NA,NA,NA,NA,-16%,92
Rex W Tillerson,M,ExxonMobil,XOM,Oil & Gas Operations,No,3,34,56,10.53,1.87,4,4.66,0,30.56,56.2,NA,NA,NA,NA,NA,8%,119
James E O'Connor,M,Republic Services,RSG,Business Services & Supplies,No,10,10,59,10.5,0.93,0,8,1.57,34.76,8.7,6.04,8%,105,106,62,5%,106
Michael L Bennett,M,Terra Industries,TRA,Chemicals,No,8,26,55,10.47,0.59,1.71,8.17,0,20.78,16.1,3.55,64%,141,161,1,28%,131
James J Mulva,M,ConocoPhillips,COP,Oil & Gas Operations,No,10,36,62,10.44,1.5,1.42,0.52,7,100.72,122.8,1,11%,92,109,145,7%,111
Wayne T Smith,M,Community Health Systems,CYH,Health Care Equipment & Services,No,12,12,63,10.3,1.08,2.07,7.15,0,41.09,19,7.12,-4%,90,94,143,1%,105
Jeff M Fettig,M,Whirlpool,WHR,Consumer Durables,No,5,28,52,10.29,1.26,0.42,8.5,0.11,32.85,10.9,NA,NA,NA,NA,NA,-10%,92
H Edward Hanway,M,Cigna,CI,Health Care Equipment & Services,No,9,31,57,10.27,1.14,6.65,0.89,1.58,121.35,21.5,21.8,5%,99,103,149,0%,102
Mayo A Shattuck III,M,Constellation Energy,CEG,Utilities,No,8,8,54,10.25,1.2,5.5,3.55,0,83.45,5.5,14.21,0%,92,98,158,3%,104
Martin M Koffel,M,URS,URS,Construction,No,20,20,70,10.02,0.99,2,7.03,0,40.86,32.9,6.96,23%,116,121,57,1%,94
Michael G Morris,M,American Electric,AEP,Utilities,No,5,5,62,9.9,1.26,1.65,6.99,0,47.73,12.5,NA,NA,NA,NA,NA,1%,104
David W Crane,M,NRG Energy,NRG,Utilities,No,5,5,50,9.68,1.1,1.92,0.06,6.6,29.23,4.5,NA,NA,NA,NA,NA,14%,116
Kevin W Sharer,M,Amgen,AMGN,Drugs & Biotechnology,No,9,17,61,9.65,1.56,3.88,0.53,3.69,60.77,12.1,11.69,-3%,92,95,159,-2%,100
Robert A Niblock,M,Lowe's Companies,LOW,Retailing,No,4,16,46,9.65,1.1,1.5,5.81,1.24,23.41,20.7,NA,NA,NA,NA,NA,-6%,98
Timothy E Guertin,M,Varian Medical Systems,VAR,Health Care Equipment & Services,No,3,34,60,9.56,0.83,1.68,0.2,6.85,23.53,4.2,NA,NA,NA,NA,NA,-17%,92
Michael E Szymanczyk,M,Altria Group,MON,Food Drink & Tobacco,No,1,19,60,9.53,1.2,2.8,4.92,0.62,NA,15.3,NA,NA,NA,NA,NA,-22%,113
John W Conway,M,Crown Holdings,CCK,Materials,No,8,35,63,9.51,1.08,3.56,4.88,0,35.34,27.3,6.26,25%,107,122,34,12%,115
William R Klesse,M,Valero Energy,VLO,Oil & Gas Operations,No,3,40,62,9.48,1.5,0.71,2.07,5.21,52.3,16.2,NA,NA,NA,NA,NA,-23%,84
David B Snow Jr,M,Medco Health,MHS,Health Care Equipment & Services,No,6,6,54,9.46,1.28,3,5.18,0,44.32,13.4,NA,NA,NA,NA,NA,28%,128
Indra K Nooyi,F,PepsiCo,PEP,Food Drink & Tobacco,No,3,15,53,9.36,1.3,2.6,1.56,3.9,26.21,11.8,NA,NA,NA,NA,NA,-6%,108
Susan M Ivey,F,Reynolds American,RAI,Food Drink & Tobacco,No,5,28,50,9.35,1.25,1.73,6.37,0,26.6,4.9,NA,NA,NA,NA,NA,7%,111
Mark G Parker,M,NIKE,NKE,Household & Personal Products,No,3,30,53,9.34,1.38,1.93,2.02,4.01,29.51,8.6,NA,NA,NA,NA,NA,9%,120
Bernard J Poussot,M,Wyeth,WYE,Drugs & Biotechnology,No,1,23,57,9.33,1.45,2.75,5.13,0,NA,17.1,NA,NA,NA,NA,NA,0%,147
Ramani Ayer,M,Hartford Financial Services,HIG,Insurance,No,12,36,61,9.29,1.15,0,2.41,5.73,77.86,4.2,13.54,-17%,87,82,177,-7%,90
Mark C Pigott,M,Paccar,PCAR,Capital Goods,No,12,32,55,9.28,1.35,0,1.43,6.51,47.37,103.7,8.43,16%,103,114,61,17%,114
Anne M Mulcahy,F,Xerox,XRX,Business Services & Supplies,No,8,33,56,9.24,1.32,0.99,6.93,0,41.7,7.1,7.48,-7%,90,91,164,-4%,97
Alan D Wilson,M,McCormick & Co,MKC,Food Drink & Tobacco,No,1,16,51,9.18,0.74,3.72,0.47,4.25,NA,0.7,NA,NA,NA,NA,NA,-16%,122
J Larry Nichols,M,Devon Energy,DVN,Oil & Gas Operations,No,29,38,66,9.09,1.2,2.6,5.29,0,38.34,84.8,6.85,14%,95,112,141,11%,102
Lawrence W Kellner,M,Continental Airlines,CAL,Transportation,No,4,14,50,9.07,0.71,1.02,7.34,0,26.16,0.3,NA,NA,NA,NA,NA,0%,105
Robert A Kotick,M,Activision Blizzard,ATVI,Software & Services,No,18,18,45,8.99,0.9,5,3.09,0,12.4,36.2,5.14,35%,125,133,33,7%,100
Gerard J Arpey,M,AMR,AMR,Transportation,No,6,27,50,8.89,0.66,0,6.68,1.55,11.85,0,NA,NA,NA,NA,NA,2%,101
Gareth Roberts,M,Denbury Resources,DNR,Oil & Gas Operations,No,17,19,56,8.84,0.48,0.38,3.02,4.96,21.12,35,NA,NA,NA,NA,NA,20%,115
Brian D Jellison,M,Roper Industries,ROP,Capital Goods,No,8,8,63,8.72,0.95,1.9,5.87,0,20.58,35.1,3.65,22%,108,120,20,12%,114
Donald E Felsinger,M,Sempra Energy,SRE,Utilities,No,3,37,61,8.71,1.14,2.53,5.04,0,36.22,21.4,NA,NA,NA,NA,NA,3%,113
Marijn E Dekkers,M,Thermo Fisher,TMO,Health Care Equipment & Services,No,6,9,51,8.61,1.16,1.87,0.83,4.75,104.64,4.9,17.97,13%,106,111,78,10%,109
James H Miller,M,PPL,PPL,Utilities,No,3,8,60,8.6,1.14,0,3.53,3.93,13.97,3.8,NA,NA,NA,NA,NA,-1%,114
Andrew N Liveris,M,Dow Chemical,DOW,Chemicals,No,5,33,55,8.53,1.64,0,6.89,0,31.25,2.3,NA,NA,NA,NA,NA,-24%,78
James Dimon,M,JPMorgan Chase,JPM,Banking,No,3,9,53,8.52,1,0,7.52,0,97.4,163.1,NA,NA,NA,NA,NA,-2%,106
John A Swainson,M,CA,CA,Software & Services,No,4,5,54,8.44,1,2.15,5.28,0,20.79,7.7,NA,NA,NA,NA,NA,-8%,96
Glenn F Tilton,M,UAL,UAUA,Transportation,No,7,7,61,8.42,0.85,0.42,4.9,2.25,17.12,2,NA,NA,NA,NA,NA,-43%,62
Jeffrey C Sprecher,M,IntercontinentalExchange,ICE,Diversified Financials,No,7,12,54,8.39,0.78,1.37,6.21,0.03,106.26,201.9,NA,NA,NA,NA,NA,27%,138
A D David MacKay,M,Kellogg,K,Food Drink & Tobacco,No,2,24,53,8.23,1.14,2.6,4.49,0,20.91,9.7,NA,NA,NA,NA,NA,-7%,112
James D Sinegal,M,Costco Wholesale,COST,Retailing,Yes,21,26,73,8.23,0.35,0.08,1.07,6.73,35.27,108.8,6.19,7%,100,105,95,15%,106
L Patrick Hassey,M,Allegheny Technologies,ATI,Materials,No,6,6,63,8.18,0.91,2.15,5.12,0,97.72,15,NA,NA,NA,NA,NA,30%,132
Edward H Linde,M,Boston Properties,BXP,Diversified Financials,Yes,39,39,69,8.17,0.95,1.98,2.45,2.8,120.66,367.9,20.37,9%,111,107,59,10%,109
Michael T Strianese,M,L-3 Communications,LLL,Aerospace & Defense,No,3,12,53,7.94,1.15,2.75,0.1,3.95,14.05,0.1,NA,NA,NA,NA,NA,-1%,110
James T Hackett,M,Anadarko Petroleum,APC,Oil & Gas Operations,No,5,5,55,7.92,1.51,3.42,3,0,60.53,10.3,NA,NA,NA,NA,NA,13%,115
Roy Vallee,M,Avnet,AVT,Technology Hardware & Equipment,No,11,32,56,7.85,1,0.89,3.71,2.25,25.78,7.6,4.48,10%,101,108,102,-3%,97
Thomas J Falk,M,Kimberly-Clark,KMB,Household & Personal Products,No,7,26,51,7.77,1.22,0.94,5.6,0,36.08,28.5,6.45,4%,100,102,121,0%,98
Clarence P Cazalot Jr,M,Marathon Oil,MRO,Oil & Gas Operations,No,7,9,58,7.75,1.38,1.7,4.66,0,80,19.8,13.99,20%,99,117,98,12%,115
Richard T Clark,M,Merck & Co,MRK,Drugs & Biotechnology,No,4,37,63,7.74,1.78,2.24,3.72,0,21.96,6.5,NA,NA,NA,NA,NA,-2%,102
Kenneth C Dahlberg,M,SAIC,SAI,Aerospace & Defense,No,6,6,53,7.71,1,1.47,0.35,4.89,21.33,10.7,NA,NA,NA,NA,NA,-1%,116
John R Strangfeld Jr,M,Prudential Financial,PRU,Insurance,No,1,32,55,7.7,0.97,3.3,3.43,0,NA,4.8,NA,NA,NA,NA,NA,-60%,58
Charles D Davidson,M,Noble Energy,NBL,Oil & Gas Operations,No,9,9,59,7.64,1.03,1.44,5.18,0,22.82,13.3,4.04,25%,104,123,36,15%,120
John C Plant,M,TRW Automotive Holdings,TRW,Consumer Durables,No,8,18,55,7.57,1.67,2.52,3.38,0,53.43,2.3,NA,NA,NA,NA,NA,-24%,78
Gregory E Johnson,M,Franklin Resources,BEN,Diversified Financials,No,5,23,47,7.56,0.78,2.4,4.38,0,47.78,97.1,NA,NA,NA,NA,NA,4%,107
J Brett Harvey,M,Consol Energy,CNX,Materials,No,11,11,58,7.54,1,1.83,4.71,0,33.05,5.7,5.61,24%,106,121,31,17%,121
Mark P Mays,M,CC Media Holdings,CCMO,Media,No,5,16,45,7.52,0.9,6.63,0,0,19.38,1.7,NA,NA,NA,NA,NA,-95%,7
Gary C Butler,M,Automatic Data,ADP,Business Services & Supplies,No,3,34,62,7.49,0.9,2.58,2.15,1.86,18.94,12.1,NA,NA,NA,NA,NA,-3%,110
John C Lechleiter,M,Eli Lilly & Co,LLY,Drugs & Biotechnology,No,1,30,55,7.35,1.34,2.71,3.31,0,NA,7.5,NA,NA,NA,NA,NA,-33%,101
James M Cornelius,M,Bristol-Myers Squibb,BMY,Drugs & Biotechnology,No,3,4,65,7.32,1.49,4.48,1.35,0,13.08,5.3,NA,NA,NA,NA,NA,-2%,112
Marshall O Larsen,M,Goodrich,GR,Aerospace & Defense,No,6,32,60,7.31,1.1,2.17,2,2.04,28.67,4.1,NA,NA,NA,NA,NA,21%,119
Ian M Cook,M,Colgate-Palmolive,CL,Household & Personal Products,No,2,33,57,7.27,1.08,3.16,1.51,1.52,NA,9,NA,NA,NA,NA,NA,-2%,130
H Lawrence Culp Jr,M,Danaher,DHR,Conglomerates,No,8,19,46,7.22,1.1,3.27,0.58,2.27,51.46,10.1,9.37,10%,105,108,62,9%,112
Michael T Duke,M,Wal-Mart Stores,WMT,Retailing,No,0.5,14,58,7.19,0.98,4.46,0.95,0.8,NA,27,NA,NA,NA,NA,NA,NA,NA
Wendell P Weeks,M,Corning,GLW,Technology Hardware & Equipment,No,4,26,49,7.08,1.03,0.3,5.75,0,54.27,11.6,NA,NA,NA,NA,NA,2%,108
James A C Kennedy,M,T Rowe Price,TROW,Diversified Financials,No,2,31,56,7.04,0.35,3.85,0.05,2.79,30.62,84.3,NA,NA,NA,NA,NA,-9%,110
R David Yost,M,AmerisourceBergen,ABC,Drugs & Biotechnology,No,12,35,62,7.02,1.18,2.72,0.13,2.99,28.64,25.5,5.37,5%,100,103,80,10%,108
John H Pinkerton,M,Range Resources,RRC,Oil & Gas Operations,No,17,19,55,7.01,0.56,0.95,3.51,2,26.81,62.3,4.6,50%,125,147,8,15%,108
Louis A Raspino,M,Pride International,PDE,Oil & Gas Operations,No,4,5,56,6.96,0.93,1.03,1.86,3.14,16.65,3.3,NA,NA,NA,NA,NA,-3%,103
Robert L Parkinson Jr,M,Baxter International,BAX,Health Care Equipment & Services,No,5,5,58,6.87,1.34,2.71,2.82,0,23.88,9.3,NA,NA,NA,NA,NA,11%,115
Walter W Bettinger II,M,Charles Schwab,SCHW,Diversified Financials,No,1,14,48,6.87,0.79,1.94,4.13,0,NA,8.3,NA,NA,NA,NA,NA,-49%,86
Craig S Donohue,M,CME Group,CME,Diversified Financials,No,5,20,47,6.86,0.85,0.64,0.94,4.43,43.6,5.4,NA,NA,NA,NA,NA,28%,132
William P Lauder,M,Estee Lauder Cos,EL,Household & Personal Products,No,5,23,49,6.82,1.5,3.07,0.9,1.35,23.62,181.3,NA,NA,NA,NA,NA,-10%,92
Edward R Muller,M,Mirant,MIR,Utilities,No,4,4,57,6.81,1.13,1.2,4.48,0,14.5,3.6,NA,NA,NA,NA,NA,-17%,89
Robert J Keegan,M,Goodyear,GT,Consumer Durables,No,6,9,61,6.77,1.22,0,4.82,0.73,49.19,2.8,8.45,9%,127,107,40,3%,102
Douglas A Berthiaume,M,Waters,WAT,Health Care Equipment & Services,No,15,29,60,6.76,0.74,1.47,0.13,4.42,136.65,113.2,28.35,12%,105,110,84,19%,1144
Charles W Shivery,M,Northeast Utilities,NU,Utilities,No,5,7,63,6.74,1.07,1.52,4.16,0,18.54,1.1,NA,NA,NA,NA,NA,4%,107
Steven J Malcolm,M,Williams Cos,WMB,Utilities,No,7,25,60,6.74,1.05,2.1,3.27,0.32,24.81,9.2,4.3,18%,109,116,64,-6%,94
Thomas A Gerke,M,Embarq,EQ,Telecommunications Services,No,1,15,53,6.66,0.47,0.51,1.48,4.2,NA,2.1,NA,NA,NA,NA,NA,-12%,127
Robert J Coury,M,Mylan,MYL,Drugs & Biotechnology,No,7,7,48,6.65,1.5,3.75,1.4,0,26.46,7.5,4.82,-4%,91,94,151,0%,99
Alan G Lafley,M,Hasbro,HAS,Household & Personal Products,No,1,9,45,6.62,0.92,2.5,0.33,2.86,NA,4.3,NA,NA,NA,NA,NA,-22%,129
Alan G Lafley,M,Procter & Gamble,PG,Household & Personal Products,No,9,32,61,6.61,1.7,4,0.91,0,61.61,41.9,11.08,4%,99,102,96,8%,113
Randall L Stephenson,M,AT&T,T,Telecommunications Services,No,2,5,49,6.6,1.42,0,5.18,0,NA,14.1,NA,NA,NA,NA,NA,-16%,110
Carol M Meyrowitz,F,TJX Cos,TJX,Retailing,No,2,26,55,6.55,1.4,2.31,2.84,0,NA,12.8,NA,NA,NA,NA,NA,-1%,120
James F Flaherty III,M,HCP,HCP,Diversified Financials,No,6,7,51,6.54,0.6,2,3.94,0,19.3,14.3,NA,NA,NA,NA,NA,8%,107
William C Rhodes III,M,AutoZone,AZO,Retailing,No,4,15,43,6.53,0.71,0.78,0.13,4.91,9.87,1.5,NA,NA,NA,NA,NA,16%,124
Thomas J Quinlan III,M,RR Donnelley & Sons,RRD,Media,No,2,5,46,6.47,0.78,1.75,3.93,0,NA,2.2,NA,NA,NA,NA,NA,-45%,67
David M Ratcliffe,M,Southern Co,SO,Utilities,No,5,38,60,6.47,1.12,1.68,3.66,0,24.59,0.6,NA,NA,NA,NA,NA,6%,110
Muhtar Kent,M,Coca-Cola,KO,Food Drink & Tobacco,No,1,4,56,6.35,1.1,4.5,0.75,0,NA,7.9,NA,NA,NA,NA,NA,-12%,142
Daniel P Amos,M,Aflac,AFL,Insurance,No,19,36,57,6.32,1.34,0,4.12,0.86,127.26,139.9,24.41,-3%,101,95,121,15%,107
Joseph M Tucci,M,EMC,EMC,Technology Hardware & Equipment,No,8,9,61,6.26,1,1.39,3.88,0,43.56,27.2,7.82,9%,100,107,129,-18%,84
Lynn R Blodgett,M,Affiliated Computer,ACS,Software & Services,No,2,19,54,6.26,0.75,1.13,0.21,4.18,8.74,0.2,NA,NA,NA,NA,NA,0%,120
Peter D Kinnear,M,FMC Technologies,FTI,Oil & Gas Operations,No,2,38,61,6.2,0.89,1.56,3.74,0,NA,3.4,NA,NA,NA,NA,NA,5%,130
Robert Greifeld,M,Nasdaq OMX Group,NDAQ,Diversified Financials,No,6,6,51,6.2,1,3.8,1.4,0,32.67,4.6,NA,NA,NA,NA,NA,23%,122
Richard W Evans Jr,M,Cullen/Frost Bankers,CFR,Banking,No,12,38,62,6.13,0.77,0.54,1.67,3.14,27.79,25.8,4.8,11%,118,109,15,8%,107
David P King,M,Laboratory Corp Amer,LH,Health Care Equipment & Services,No,2,8,52,6.1,0.79,0.77,4.54,0,10.9,5,NA,NA,NA,NA,NA,-8%,111
R David Hoover,M,Ball,BLL,Materials,No,8,39,63,5.99,1.1,0.92,3.96,0,39.12,36,7.42,8%,93,106,101,19%,123
Gale E Klappa,M,Wisconsin Energy,WEC,Utilities,No,5,6,58,5.9,1.13,2.33,2.44,0,21.29,1.6,NA,NA,NA,NA,NA,8%,111
Louis R Chenevert,M,United Technologies,UTX,Conglomerates,No,1,16,51,5.88,1.32,3,1.56,0,NA,8.9,NA,NA,NA,NA,NA,-31%,104
Merrill A Miller Jr,M,National Oilwell Varco,NOV,Oil & Gas Operations,No,8,13,58,5.87,0.95,1.83,3.09,0,29.73,18.4,5.15,21%,100,118,74,7%,110
Lon R Greenberg,M,UGI,UGI,Utilities,No,14,20,59,5.85,1.03,0.96,0.08,3.78,44.89,10.9,8.59,10%,102,108,84,14%,109
Richard K Templeton,M,Texas Instruments,TXN,Semiconductors,No,5,29,50,5.84,0.96,1.56,3.32,0,36.86,12.9,NA,NA,NA,NA,NA,-6%,96
Jeffrey R Gardner,M,Windstream,WIN,Telecommunications Services,No,3,11,49,5.84,0.98,1.79,3.07,0,12.73,11.2,NA,NA,NA,NA,NA,-2%,108
Stanley A Lybarger,M,BOK Financial,BOKF,Banking,No,13,35,59,5.84,0.83,1.24,0.68,3.08,20.86,6,3.92,5%,112,103,26,11%,107
Paul S Otellini,M,Intel,INTC,Semiconductors,No,4,35,58,5.83,1,3.87,0.81,0.15,35.03,12.6,NA,NA,NA,NA,NA,-9%,95
Joseph W Saunders,M,Visa,V,Diversified Financials,No,2,2,46,5.83,0.95,4.51,0.37,0,NA,7.9,NA,NA,NA,NA,NA,4%,149
Paul T Hanrahan,M,AES,AES,Utilities,No,7,22,51,5.77,1,1.76,3.02,0,43.29,2.7,7.59,7%,99,105,115,4%,105
James M Cracchiolo,M,Ameriprise Financial,AMP,Diversified Financials,No,9,27,51,5.76,0.85,0,4.91,0,47.75,4,NA,NA,NA,NA,NA,-10%,97
Thomas R Watjen,M,Unum Group,UNM,Insurance,No,6,15,54,5.73,1.09,2.27,2.37,0,21.34,10.7,3.86,9%,113,107,29,8%,106
Peter McCausland,M,Airgas,ARG,Chemicals,No,22,23,59,5.69,0.75,1.32,0.01,3.61,15.84,292.5,3.69,14%,98,112,87,16%,108
John P Wiehoff,M,CH Robinson Worldwide,CHRW,Transportation,No,7,17,47,5.68,0.4,1.31,2.4,1.57,28.22,46.3,4.92,21%,115,118,3,18%,119
Irene B Rosenfeld,F,Kraft Foods,KFT,Food Drink & Tobacco,No,3,3,55,5.68,1.45,4.07,0.15,0,16.67,18.8,NA,NA,NA,NA,NA,-8%,102
Charles W Moorman IV,M,Norfolk Southern,NSC,Transportation,No,4,39,57,5.64,0.95,1.76,0.13,2.8,16.52,8,NA,NA,NA,NA,NA,0%,107
