CEO,Gender,Company,Ticker,Industry,Founder,Years.as.company.CEO,Years.with.company,Age,Total.2008.compensation,2008.Salary,2008.Bonus,2008.Other,2008.Stock.gains,5-year.compensation.total,Shares.owned.($.millions),6-year.average.compensation,6-year.annual.total.return,6-year.return.relative.to.industry,6-year.return.relative.to.market,Performance.vs.pay.rank,Total.return.during.tenure,Relative.to.market
Neil Smit,M,Charter Commun,CHTR,Media,No,4,4,50,5.63,1.2,2.47,1.38,0.59,13.18,0,NA,NA,NA,NA,NA,-63%,39
Charles E Bunch,M,PPG Industries,PPG,Chemicals,No,4,30,59,5.58,1.04,1.75,2.79,0,17.08,7.2,NA,NA,NA,NA,NA,-7%,97
Leslie H Wexner,M,Limited Brands,LTD,Retailing,Yes,46,46,71,5.58,1.91,1.52,2.14,0,107.16,588.6,18.85,0%,93,98,162,15%,104
Martin H Richenhagen,M,AGCO,AG,Capital Goods,No,5,5,57,5.54,1.02,1.12,3.39,0,15.66,6.9,NA,NA,NA,NA,NA,4%,107
George W Buckley,M,3M,MMM,Conglomerates,No,3,3,62,5.48,1.72,2.64,1.11,0,25.78,1.9,NA,NA,NA,NA,NA,-8%,100
Gary M Rodkin,M,ConAgra Foods,CAG,Food Drink & Tobacco,No,4,4,57,5.44,1,1.8,2.64,0,15.86,5.2,NA,NA,NA,NA,NA,-5%,101
Peter R Huntsman,M,Huntsman,HUN,Chemicals,No,9,22,46,5.4,1.46,1.75,2.18,0,20.24,203.9,NA,NA,NA,NA,NA,-33%,70
Daniel R Hesse,M,Sprint Nextel,S,Telecommunications Services,No,1,1,56,5.39,1.2,2.65,1.54,0,NA,7.5,NA,NA,NA,NA,NA,-58%,59
David P Steiner,M,Waste Management,WMI,Business Services & Supplies,No,5,19,48,5.39,1.07,1.05,3.28,0,19.33,8.6,NA,NA,NA,NA,NA,0%,104
Jeffrey M Ettinger,M,Hormel Foods,HRL,Food Drink & Tobacco,No,3,19,50,5.39,0.91,1.34,2.24,0.89,11.79,3,NA,NA,NA,NA,NA,0%,110
Myron E Ullman III,M,JC Penney,JCP,Retailing,No,4,4,62,5.39,1.5,1.41,2.48,0,29.2,6.1,NA,NA,NA,NA,NA,-7%,97
Ronald E Logue,M,State Street,STT,Diversified Financials,No,5,19,63,5.36,1,0,4.36,0,58.24,9.7,NA,NA,NA,NA,NA,-4%,98
Glenn K Murphy,M,Gap,GPS,Retailing,No,2,2,47,5.35,1.5,3.02,0.83,0,NA,2.3,NA,NA,NA,NA,NA,-4%,127
Donald J Tomnitz,M,DR Horton,DHI,Construction,No,10,26,60,5.29,0.3,1.85,0.04,3.11,56.87,11.2,10.62,2%,96,100,120,9%,110
Peter Swinburn,M,Molson Coors Brewing,TAP,Food Drink & Tobacco,No,1,35,56,5.27,0.75,0.82,3.7,0,NA,2.2,NA,NA,NA,NA,NA,-41%,94
Paul C Varga,M,Brown-Forman,BF.B,Food Drink & Tobacco,No,4,22,45,5.25,0.99,2.05,1.08,1.13,13.54,5.4,NA,NA,NA,NA,NA,0%,107
Daniel R DiMicco,M,Nucor,NUE,Materials,No,9,27,58,5.24,0.8,2.16,1.89,0.39,29.46,18,5.27,32%,113,129,6,22%,127
Peter A Darbee,M,PG&E,PCG,Utilities,No,4,10,56,5.2,1.09,1.29,2.27,0.56,25.86,7.4,NA,NA,NA,NA,NA,7%,113
Trevor Fetter,M,Tenet Healthcare,THC,Health Care Equipment & Services,No,6,7,49,5.19,1.08,2.29,1.82,0,21.87,1.3,NA,NA,NA,NA,NA,-36%,63
Robert S Sands,M,Constellation Brands,STZ,Food Drink & Tobacco,No,2,23,51,5.14,0.98,1.44,0.21,2.52,NA,225.1,NA,NA,NA,NA,NA,-32%,89
Nolan D Archibald,M,Black & Decker,BDK,Household & Personal Products,No,23,24,65,5.11,1.5,1.88,1.73,0,63.99,14.3,12.63,1%,97,99,153,3%,95
Michael W Laphen,M,Computer Sciences,CSC,Software & Services,No,2,32,58,5.08,0.96,1.97,1.87,0.28,NA,3.6,NA,NA,NA,NA,NA,-18%,108
William E Mitchell,M,Arrow Electronics,ARW,Technology Hardware & Equipment,No,6,6,65,5.08,1.1,0.98,3,0,21.29,9.8,3.83,5%,97,104,99,8%,106
Robert P Kelly,M,Bank of New York,BK,Banking,No,2,3,54,5.08,0.99,0,4.09,0,NA,13,NA,NA,NA,NA,NA,-17%,109
David B Dillon,M,Kroger,KR,Food Markets,No,6,33,58,5.06,1.17,2.32,0.88,0.68,24.27,21.4,NA,NA,NA,NA,NA,4%,104
David W Nelms,M,Discover Financial Services,DFS,Diversified Financials,No,5,11,48,5.04,1,1.43,2.61,0,44.87,7.1,NA,NA,NA,NA,NA,-49%,68
Thomas J May,M,NStar,NST,Utilities,No,15,33,62,5.03,0.98,1.7,2.35,0,29.46,18.4,5.74,12%,103,110,79,11%,104
Stephen J Hemsley,M,UnitedHealth Group,UNH,Health Care Equipment & Services,No,2,12,56,5.03,1.3,2.54,1.19,0,NA,56,NA,NA,NA,NA,NA,-26%,88
Jeffrey B Kindler,M,Pfizer,PFE,Drugs & Biotechnology,No,3,7,54,5.01,1.58,3,0.44,0,17.76,22.3,NA,NA,NA,NA,NA,-17%,93
David M McClanahan,M,CenterPoint Energy,CNP,Utilities,No,7,37,59,5.01,1.05,1.58,2.38,0,18.77,5.1,3.55,10%,101,108,71,7%,105
William D Johnson,M,Progress Energy,PGN,Utilities,No,2,17,55,4.99,0.95,0.93,3.11,0,NA,4.2,NA,NA,NA,NA,NA,-12%,126
Gregory B Maffei,M,Liberty Entertainment,LMDIA,Media,No,3,4,48,4.95,1,2.73,1.22,0,NA,12.4,NA,NA,NA,NA,NA,-12%,125
Michael I Roth,M,Interpublic Group,IPG,Media,No,4,5,63,4.9,1.13,2.4,1.37,0,10.87,6,NA,NA,NA,NA,NA,-20%,84
David Simon,M,Simon Property Group,SPG,Diversified Financials,No,14,19,47,4.88,1,0.81,1.36,1.71,15.96,197.2,3.84,7%,109,105,46,10%,103
Douglas L Foshee,M,El Paso,EP,Oil & Gas Operations,No,6,6,49,4.88,1.04,0.59,3.25,0,19.47,6.3,NA,NA,NA,NA,NA,0%,102
Anthony F Earley Jr,M,DTE Energy,DTE,Utilities,No,11,15,59,4.68,1.19,1.5,1.74,0.25,23.08,6.8,4.26,0%,92,98,133,2%,102
W Douglas Parker,M,US Airways Group,LCC,Transportation,No,8,14,47,4.66,0.55,0,4.11,0,21.31,0.8,3.65,-10%,86,89,157,-22%,79
Gregory B Maffei,M,Liberty Media,LINTA,Retailing,No,3,4,48,4.62,1,2.73,0.5,0.39,12.09,1.7,NA,NA,NA,NA,NA,-44%,63
Brenda C Barnes,F,Sara Lee,SLE,Food Drink & Tobacco,No,4,5,55,4.6,1,1.99,1.6,0,14.16,6.9,NA,NA,NA,NA,NA,-15%,89
Bob Sasser,M,Dollar Tree,DLTR,Retailing,No,5,10,57,4.57,0.74,1.01,2.21,0.62,9.42,2.4,NA,NA,NA,NA,NA,7%,110
Dennis R Glass,M,Lincoln National,LNC,Insurance,No,2,16,59,4.57,1,0.8,2.77,0,NA,2,NA,NA,NA,NA,NA,-65%,46
Glenn M Renwick,M,Progressive,PGR,Insurance,No,8,23,53,4.52,0.78,0,3.17,0.58,33.86,45.7,6.67,0%,105,99,58,8%,111
Patricia A Woertz,F,Archer Daniels,ADM,Food Drink & Tobacco,No,3,3,56,4.5,1.29,3.04,0.17,0,10.22,16.1,NA,NA,NA,NA,NA,-11%,100
James E Rohr,M,PNC Financial Services,PNC,Banking,No,9,37,60,4.49,1,0,1.41,2.08,65.09,27.1,11.84,2%,109,100,64,2%,106
James R Tobin,M,Boston Scientific,BSX,Health Care Equipment & Services,No,10,10,75,4.47,0.99,0.89,1.19,1.4,49.11,6.2,8.53,-14%,82,85,176,-7%,95
Edward A Mueller,M,Qwest Communications,Q,Telecommunications Services,No,2,2,62,4.44,1.2,2.25,0.99,0,NA,5,NA,NA,NA,NA,NA,-33%,88
Philip R Sherringham,M,People's United,PBCT,Banking,No,2,6,56,4.43,0.79,1.09,2.55,0,NA,10.8,NA,NA,NA,NA,NA,9%,153
Clayton M Jones,M,Rockwell Collins,COL,Aerospace & Defense,No,8,13,59,4.41,1,1.21,2.19,0,31.01,3.6,5.8,13%,106,111,52,6%,109
Duncan L Niederauer,M,NYSE Euronext,NYX,Diversified Financials,No,1,2,49,4.37,1,2,1.37,0,NA,0.7,NA,NA,NA,NA,NA,-62%,53
John E McGlade,M,Air Prods & Chems,APD,Chemicals,No,2,33,55,4.32,1,2,0.62,0.7,NA,4.9,NA,NA,NA,NA,NA,-26%,105
Richard C Kelley,M,Xcel Energy,XEL,Utilities,No,4,12,62,4.32,1.18,0,3.14,0,21.2,6.9,NA,NA,NA,NA,NA,2%,109
Keith E Busse,M,Steel Dynamics,STLD,Materials,No,16,16,66,4.3,0.9,2.28,1.12,0,18.95,21.1,3.47,25%,108,123,45,7%,104
James R Young,M,Union Pacific,UNP,Transportation,No,3,31,57,4.29,1.14,3,0.14,0.01,23.29,15.9,NA,NA,NA,NA,NA,5%,116
R Kerry Clark,M,Cardinal Health,CAH,Drugs & Biotechnology,No,3,3,56,4.29,1.44,0.69,2.16,0,12.06,7.4,NA,NA,NA,NA,NA,-21%,87
Mary F Sammons,F,Rite Aid,RAD,Retailing,No,6,9,62,4.2,1,1.82,1.12,0.25,13.01,0.9,NA,NA,NA,NA,NA,-32%,67
Glen F Post III,M,Century Tel,CTL,Telecommunications Services,No,17,33,56,4.17,1,0.86,2.31,0,36.67,16.8,6.79,2%,93,100,147,7%,100
Harold W McGraw III,M,McGraw0Hill Cos,MHP,Media,No,11,29,60,4.16,1.35,0,2.81,0,71.88,137.7,12.5,-1%,109,98,73,4%,104
Larry D Young,M,Dr Pepper Snapple,DPS,Food Drink & Tobacco,No,2,3,54,4.14,0.87,1.64,1.63,0,NA,0.3,NA,NA,NA,NA,NA,-29%,114
David E I Pyott,M,Allergan,AGN,Drugs & Biotechnology,No,11,11,56,4.12,1.35,1.21,1.56,0,73.54,7.5,13.73,6%,101,104,80,17%,116
Klaus Kleinfeld,M,Alcoa,AAPL,Materials,No,1,2,51,4.12,1.4,1.88,0.84,0,NA,1.4,NA,NA,NA,NA,NA,-79%,33
Jeffrey A Joerres,M,Manpower,MAN,Business Services & Supplies,No,10,16,49,4.11,1,0.3,2.81,0,24.98,8.9,4.62,3%,100,101,75,5%,108
LeRoy T Carlson Jr,M,Tele & Data Systems,TDS,Telecommunications Services,No,23,35,62,4.1,1.28,0.95,0.66,1.22,21.62,104.4,3.84,5%,96,103,123,9%,101
Brian Duperreault,M,Marsh & McLennan,MMC,Insurance,No,1,1,61,4.09,1,3,0.09,0,NA,11.1,NA,NA,NA,NA,NA,-18%,115
David B Speer,M,Illinois Tool Works,ITW,Capital Goods,No,4,31,58,4.07,1.1,1.59,0.1,1.29,13.95,2.3,NA,NA,NA,NA,NA,-5%,102
Angela F Braly,F,WellPoint,WLP,Health Care Equipment & Services,No,2,4,47,4.07,1.14,0.07,2.86,0,NA,4.6,NA,NA,NA,NA,NA,-31%,91
Daniel W Rabun,M,Ensco International,ESV,Oil & Gas Operations,No,2,3,54,4.05,0.85,1.17,1.38,0.65,9.09,5.1,NA,NA,NA,NA,NA,-20%,96
Kendall J Powell,M,General Mills,GIS,Food Drink & Tobacco,No,2,30,55,4.04,0.84,1.67,0.71,0.81,NA,7.4,NA,NA,NA,NA,NA,-5%,133
Richard K Davis,M,US Bancorp,USB,Banking,No,2,16,51,4.03,0.9,0,0.02,3.12,15.78,6.3,NA,NA,NA,NA,NA,-21%,95
William B Timmerman,M,Scana,SCG,Utilities,No,12,31,62,4.02,1.09,0.65,2.27,0,17.84,2.3,3.44,5%,97,103,104,6%,103
Jonathan I Schwartz,M,Sun Microsystems,JAVA,Technology Hardware & Equipment,No,3,13,43,4.02,1,1.04,1.98,0,19,3.2,NA,NA,NA,NA,NA,-30%,77
Michael R Splinter,M,Applied Materials,AMAT,Semiconductors,No,6,6,58,4.01,0.93,0.65,2.43,0,20.35,7.5,NA,NA,NA,NA,NA,-3%,95
William A Hawkins,M,Medtronic,MDT,Health Care Equipment & Services,No,2,7,55,3.97,1,0.63,2.34,0,NA,9.2,NA,NA,NA,NA,NA,-27%,98
Gregory T Lucier,M,Life Technologies,LIFE,Drugs & Biotechnology,No,6,6,44,3.95,0.98,2.05,0.92,0,38.74,6.1,NA,NA,NA,NA,NA,9%,109
Alan R Mulally,M,Ford Motor,F,Consumer Durables,No,3,3,63,3.94,2,0,1.94,0,35.44,3.9,NA,NA,NA,NA,NA,-23%,88
Donald R Knauss,M,Clorox,CLX,Household & Personal Products,No,3,3,57,3.92,0.99,1.38,1.55,0,NA,4.1,NA,NA,NA,NA,NA,-3%,112
Daniel C Ustian,M,Navistar Intl,NAV,Consumer Durables,No,6,36,58,3.9,1.17,0,2.73,0,11.87,4.9,2.14,6%,124,104,10,7%,104
Keith O Rattie,M,Questar,STR,Utilities,No,7,8,54,3.9,0.88,0,3.02,0,17.31,7.8,3.11,15%,106,113,23,14%,115
Richard J Dugas Jr,M,Pulte Homes,PHM,Construction,No,6,15,43,3.85,1,0.46,2.39,0,31.25,7,NA,NA,NA,NA,NA,-6%,93
Gregory M Spierkel,M,Ingram Micro,IM,Technology Hardware & Equipment,No,4,12,52,3.84,0.8,0.84,0.58,1.62,14.47,0,NA,NA,NA,NA,NA,-4%,101
Bryce Blair,M,Avalonbay Communities,AVB,Diversified Financials,No,8,16,50,3.81,0.82,0.99,1.96,0.05,35.46,12.2,6.22,11%,113,109,24,7%,111
David J West,M,Hershey,HSY,Food Drink & Tobacco,No,1,8,46,3.78,1,1.13,1.65,0,NA,1.6,NA,NA,NA,NA,NA,-2%,144
Adam S Metz,M,General Growth Prop,GGP,Diversified Financials,No,1,1,48,3.78,1.5,2,0.28,0,NA,0,NA,NA,NA,NA,NA,-80%,18
Carl H Lindner III,M,American Finl Group,AFG,Insurance,No,4,18,55,3.77,1.1,1.94,0.73,0,21.99,207.6,NA,NA,NA,NA,NA,-1%,104
Kevin Burke,M,Consolidated Edison,ED,Utilities,No,4,36,58,3.75,1.1,1.07,1.09,0.49,10.39,3,NA,NA,NA,NA,NA,0%,107
Francisco D'Souza,M,Cognizant Technology,CTSH,Software & Services,No,2,15,40,3.72,0.43,0.35,0.01,2.94,NA,5,NA,NA,NA,NA,NA,-19%,98
Gregory C Case,M,Aon,AOC,Insurance,No,4,4,46,3.72,1.5,1.42,0.8,0,16.53,4.8,NA,NA,NA,NA,NA,16%,123
James S Tisch,M,Loews,L,Insurance,No,10,32,56,3.7,1.1,2.5,0.1,0,15.67,350.8,2.85,12%,117,110,12,5%,106
Robert G Wilmers,M,M&T Bank,MTB,Banking,No,2,16,75,3.66,0.65,0,0.06,2.95,24.1,217.1,NA,NA,NA,NA,NA,-27%,88
Clarence Otis Jr,M,Darden Restaurants,DRI,"Hotels, Restaurants & Leisure",No,4,14,53,3.66,0.89,0.97,0.87,0.92,13.68,7.6,NA,NA,NA,NA,NA,9%,114
Henri A Termeer,M,Genzyme,GENZ,Drugs & Biotechnology,No,23,26,63,3.66,1.58,1.96,0.12,0,79.12,35.7,16.36,9%,103,107,111,13%,105
Gregory Q Brown,M,Motorola,MOT,Technology Hardware & Equipment,No,1,6,49,3.64,1.2,0,2.44,0,NA,3.4,NA,NA,NA,NA,NA,-59%,59
Jeffery W Yabuki,M,Fiserv,FISV,Software & Services,No,3,3,49,3.64,0.84,1.09,1.7,0,8.99,3.5,NA,NA,NA,NA,NA,-6%,102
Donald E Washkewicz,M,Parker-Hannifin,PH,Capital Goods,No,8,36,58,3.62,1.16,2.23,0.23,0,44.94,21.2,7.84,8%,96,106,115,5%,108
Shantanu Narayen,M,Adobe Systems,ADBE,Software & Services,No,1,11,45,3.6,0.88,1.26,1.47,0,NA,4.1,NA,NA,NA,NA,NA,-32%,98
C Larry Pope,M,Smithfield Foods,SFD,Food Drink & Tobacco,No,3,29,54,3.56,1.1,2.43,0.04,0,9.36,3.7,NA,NA,NA,NA,NA,-31%,79
Sol J Barer,M,Celgene,CELG,Drugs & Biotechnology,No,3,23,62,3.56,0.83,1,1.44,0.29,NA,24.7,NA,NA,NA,NA,NA,0%,111
Eric C Wiseman,M,VF,VFC,Household & Personal Products,No,1,14,53,3.54,0.95,0.76,1.83,0,NA,7.1,NA,NA,NA,NA,NA,0%,148
Stephen P MacMillan,M,Stryker,SYK,Health Care Equipment & Services,No,4,6,45,3.51,1.2,0.62,1.59,0.11,15.03,4.1,NA,NA,NA,NA,NA,-6%,98
Terry J Lundgren,M,Macy's,M,Retailing,No,6,15,57,3.47,1.5,0.9,1.07,0,39.27,2.4,7.29,-1%,92,97,155,0%,98
John P Daane,M,Altera,ALTR,Semiconductors,No,8,8,45,3.47,0.7,1.25,0.53,0.99,9.52,7.5,1.89,4%,116,103,30,-3%,99
James T Ryan,M,WW Grainger,GWW,Capital Goods,No,1,29,50,3.43,0.79,0.63,2.01,0,NA,10.4,NA,NA,NA,NA,NA,-16%,143
William P Utt,M,KBR,KBR,Construction,No,3,3,52,3.42,0.9,1.1,1.42,0,7.87,3.3,NA,NA,NA,NA,NA,-11%,105
James E Rogers,M,Duke Energy,DUK,Utilities,No,3,21,61,3.4,0,0,3.4,0,22.12,18.9,NA,NA,NA,NA,NA,-1%,110
John T Chambers,M,Cisco Systems,CSCO,Technology Hardware & Equipment,No,14,18,59,3.39,0.38,3,0.01,0,232.66,66.3,38.78,5%,97,103,139,17%,110
Antonio M Perez,M,Eastman Kodak,EK,Household & Personal Products,No,4,6,63,3.38,1.1,0,2.28,0,18.79,0.6,NA,NA,NA,NA,NA,-36%,68
Thomas A James,M,Raymond James Finl,RJF,Diversified Financials,No,39,43,67,3.34,0.32,2.3,0.72,0,16.2,270.4,3.08,9%,110,107,21,18%,108
William J DeLaney,M,Sysco,SYY,Food Markets,No,0.5,22,53,3.31,0.56,1.94,0.81,0,NA,1.5,NA,NA,NA,NA,NA,NA,NA
J Brian Ferguson,M,Eastman Chemical,EMN,Chemicals,No,7,32,54,3.31,1.13,0.93,1.24,0.01,34.21,8.1,5.92,5%,90,103,148,0%,102
Murray R McClean,M,Commercial Metals,CMC,Materials,No,3,4,60,3.3,0.6,1.91,0.79,0,11.53,2.2,NA,NA,NA,NA,NA,-15%,96
Robert M Dutkowsky,M,Tech Data,TECD,Technology Hardware & Equipment,No,3,3,54,3.29,0.92,1.59,0.78,0,NA,1,NA,NA,NA,NA,NA,-16%,97
Scott A McGregor,M,Broadcom,BRCM,Semiconductors,No,4,4,53,3.28,0.68,0.62,1.99,0,26.73,6.8,NA,NA,NA,NA,NA,2%,108
James T Prokopanko,M,Mosaic,MOS,Chemicals,No,2,3,55,3.26,0.81,1.91,0.54,0,NA,0.3,NA,NA,NA,NA,NA,38%,168
Murray D Martin,M,Pitney Bowes,PBI,Business Services & Supplies,No,2,8,61,3.25,0.94,1.38,0.93,0,11.86,2.4,NA,NA,NA,NA,NA,-25%,96
Jai Nagarkatti,M,Sigma-Aldrich,SIAL,Chemicals,No,3,33,62,3.2,0.75,0.36,0.47,1.62,6.52,3.3,NA,NA,NA,NA,NA,9%,119
Richard T O'Brien,M,Newmont Mining,NEM,Materials,No,2,4,54,3.2,1,1.89,0.31,0,NA,8,NA,NA,NA,NA,NA,4%,139
Ward M Klein,M,Energizer Holdings,ENR,Household & Personal Products,No,4,30,54,3.15,0.82,1.56,0.77,0,21.97,4.3,NA,NA,NA,NA,NA,0%,105
Sheldon G Adelson,M,Las Vegas Sands,LVS,"Hotels, Restaurants & Leisure",No,11,11,75,3.14,1,1.9,0.24,0,46.19,1523.4,NA,NA,NA,NA,NA,-42%,61
Robert B Pollock,M,Assurant,AIZ,Insurance,No,3,28,54,3.14,0.95,1.64,0.55,0,18.35,3.9,NA,NA,NA,NA,NA,-16%,93
Frank J Bramanti,M,HCC Insurance,HCC,Insurance,No,2,2,52,3.14,1.95,1.01,0.03,0.15,8.17,8.9,NA,NA,NA,NA,NA,-4%,114
Francis S Blake,M,Home Depot,HD,Retailing,No,2,7,59,3.12,1.01,0,2.1,0,7.78,10.9,NA,NA,NA,NA,NA,-14%,103
Lothar Maier,M,Linear Technology,LLTC,Semiconductors,No,4,10,53,3.11,0.41,1.82,0.87,0,9.79,5,NA,NA,NA,NA,NA,-9%,96
Stanley M Bergman,M,Henry Schein,HSIC,Health Care Equipment & Services,No,20,29,59,3.08,1.03,1.8,0.25,0,11.97,46,2.3,11%,105,109,55,9%,105
David W Kemper,M,Commerce Bancshs,CBSH,Banking,No,23,31,58,3.07,0.84,0.38,0.33,1.52,17.55,180.5,3.14,9%,116,107,22,12%,104
Carol Bartz,F,Yahoo,YHOO,Software & Services,No,0.5,0.5,60,3,1,2,0,0,NA,14.3,NA,NA,NA,NA,NA,NA,NA
Ralph Izzo,M,Pub Svc Enterprise,PEG,Utilities,No,2,17,51,2.97,0.94,1,1.03,0,9.51,4.3,NA,NA,NA,NA,NA,-11%,110
James J O'Brien,M,Ashland,ASH,Chemicals,No,6,33,54,2.97,1.11,0.45,1.41,0,39.16,2,6.75,-4%,83,95,168,0%,98
David J Neithercut,M,Equity Residential,EQR,Diversified Financials,No,3,14,53,2.96,0.63,0.5,1.83,0,NA,8.3,NA,NA,NA,NA,NA,-11%,97
Vikram S Pandit,M,Citigroup,C,Banking,No,1,4,52,2.94,0.96,0,1.98,0,NA,5.2,NA,NA,NA,NA,NA,-82%,25
